동,주택가 기준 배송 난이도,택배 물동 예측량,1인가구비율,무인택배함개수
서울특별시 동대문구 용신동,0.553753362,0.337383892,0.680109658,0.090909091
서울특별시 동대문구 제기동,0.531991197,0.282155349,0.574278991,0.090909091
서울특별시 동대문구 전농1동,0.616024126,0.341556933,0.525659622,0.181818182
서울특별시 동대문구 전농2동,0.127638764,0.464752866,0.258688005,0
서울특별시 동대문구 답십리2동,0.238242726,0.496000417,0.338284285,0
서울특별시 동대문구 장안1동,0.412829081,0.504268285,0.410709421,0.181818182
서울특별시 동대문구 장안2동,0.360502078,0.439456098,0.291700668,0.181818182
서울특별시 동대문구 이문1동,0.472165621,0.205191493,0.738804616,0.090909091
서울특별시 동대문구 이문2동,0.264813758,0.308983661,0.356304909,0
서울특별시 동대문구 답십리1동,0.253647404,0.416119426,0.377298994,0.090909091
서울특별시 중랑구 면목2동,0.444698019,0.318683322,0.447458941,0.181818182
서울특별시 중랑구 면목4동,0.316488711,0.255827313,0.40526591,0.090909091
서울특별시 중랑구 면목5동,0.226261309,0.227233901,0.30566142,0.090909091
서울특별시 중랑구 면목7동,0.390007336,0.330318301,0.413687011,0
서울특별시 중랑구 상봉1동,0.219985329,0.380554879,0.281158167,0
서울특별시 중랑구 상봉2동,0.267258945,0.281493727,0.649582983,0.363636364
서울특별시 중랑구 중화1동,0.345178906,0.352979339,0.333538765,0.272727273
서울특별시 중랑구 중화2동,0.732578042,0.335573226,0.553184929,0
서울특별시 중랑구 묵1동,0.288532073,0.371998767,0.314064256,0.181818182
서울특별시 중랑구 묵2동,0.286575923,0.303064445,0.437865882,0.090909091
서울특별시 중랑구 망우3동,0.388051186,0.254710602,0.439716913,0.090909091
서울특별시 중랑구 신내1동,0.175890456,0.646565543,0.177602718,0.090909091
서울특별시 중랑구 신내2동,0.001711631,0.499556987,0.304302086,0.090909091
서울특별시 중랑구 면목본동,0.702991279,0.408459838,0.49646333,0.090909091
서울특별시 중랑구 면목3·8동,0.568669003,0.421480408,0.467169169,0
서울특별시 중랑구 망우본동,0.563697123,0.309915092,0.442359738,0
서울특별시 성북구 돈암1동,0.059336539,0.457801832,0.262012355,0
서울특별시 성북구 돈암2동,0.016953297,0.608526238,0.134046277,0.090909091
서울특별시 성북구 안암동,0.342733719,0.230736293,0.825805767,0.090909091
