동,주택가 기준 배송 난이도,택배 물동 예측량,1인가구비율,무인택배함개수
서울특별시 강남구 역삼1동,0.537615128,0.552947532,0.800533831,1
서울특별시 강남구 역삼2동,0.14353248,0.668824777,0.405996245,0.454545455
서울특별시 강남구 도곡1동,0.075800799,0.463180428,0.26492083,0.272727273
서울특별시 강남구 도곡2동,0.037981906,0.873293858,0.112109471,0.181818182
서울특별시 강남구 개포1동,0,0.161994557,0.258938418,0
서울특별시 강남구 개포4동,0.175564431,0.391799278,0.337012395,0.363636364
서울특별시 강남구 일원본동,0.104490994,0.492603533,0.101815741,0.090909091
서울특별시 강남구 일원1동,0.134403782,0.448437602,0.46937341,0.272727273
서울특별시 강남구 일원2동,0,0.448812608,0.32024961,0
서울특별시 강남구 수서동,0.014752629,0.587616266,0.511634316,0
서울특별시 강남구 세곡동,0.25633711,0.671059573,0.336747029,0.181818182
서울특별시 강남구 압구정동,0.09006439,0.582066061,0.205727694,0.090909091
서울특별시 강남구 청담동,0.225609259,0.490577941,0.36480888,0
서울특별시 강남구 대치2동,0.04352433,0.803342225,0.14026088,0.363636364
서울특별시 강남구 개포2동,0.016708778,0.321859507,0.128462082,0.090909091
서울특별시 송파구 풍납1동,0.308012063,0.327107683,0.380408031,0.272727273
서울특별시 송파구 풍납2동,0.170185019,0.47924403,0.338799992,0.272727273
서울특별시 송파구 거여1동,0.155432391,0.288820981,0.316974131,0.090909091
서울특별시 송파구 거여2동,0.099519113,0.32287554,0.314870455,0.090909091
서울특별시 송파구 마천1동,0.301899095,0.42876206,0.353472061,0.090909091
서울특별시 송파구 마천2동,0.343956313,0.387364591,0.340497657,0.181818182
서울특별시 송파구 방이1동,0.098622545,0.395207802,0.264274404,0.363636364
서울특별시 송파구 방이2동,0.229521558,0.500486581,0.636870893,0.181818182
서울특별시 송파구 오륜동,0,0.363169939,0.021643854,0
서울특별시 송파구 오금동,0.211264162,0.702153263,0.228698977,0.272727273
서울특별시 송파구 송파1동,0.187382835,0.461993906,0.510475747,0.090909091
서울특별시 송파구 송파2동,0.066264569,0.436900112,0.177642441,0
서울특별시 송파구 석촌동,0.222512022,0.530414429,0.540254104,0.090909091
서울특별시 송파구 삼전동,0.188116391,0.513736994,0.536175898,0.545454545
서울특별시 송파구 가락본동,0.112234086,0.463869522,0.347634337,0.181818182
서울특별시 송파구 가락1동,0,0.259996101,0.113412882,0.090909091
서울특별시 송파구 가락2동,0.096829407,0.552516846,0.205553125,0.181818182
서울특별시 송파구 문정1동,0.085500041,0.422980725,0.308255105,0.181818182
서울특별시 송파구 문정2동,0,0.738691861,0.646780445,0
서울특별시 송파구 잠실본동,0.177928112,0.47230352,0.589047679,0.090909091
서울특별시 송파구 잠실4동,0,0.604104536,0.067847657,0
서울특별시 송파구 잠실6동,0,0.589520335,0.077685548,0
서울특별시 송파구 잠실7동,0,0.362876246,0.063415979,0
서울특별시 송파구 잠실2동,0,0.524684075,0.077023996,0
서울특별시 송파구 잠실3동,0,0.702987779,0.069086792,0
서울특별시 송파구 장지동,0.105143043,0.480077838,0.265255788,0.181818182
서울특별시 송파구 위례동,0,0.405091097,0.089857237,0
서울특별시 강동구 강일동,0.006683511,0.483763919,0.186997266,0.090909091
서울특별시 강동구 상일동,0.182329448,0.277057184,0.112796216,0.090909091
서울특별시 강동구 명일1동,0.084684978,0.524323607,0.183869961,0.181818182
서울특별시 강동구 명일2동,0.027386095,0.591717708,0.122024489,0.090909091
서울특별시 강동구 고덕1동,0.082647323,0.44994043,0.120672869,0.090909091
서울특별시 강동구 고덕2동,0.147200261,0.249484132,0.227105921,0
서울특별시 강동구 암사2동,0.045480479,0.400468409,0.279295667,0.090909091
서울특별시 강동구 암사3동,0.063982395,0.41305697,0.097532646,0
서울특별시 강동구 천호1동,0.363680822,0.446204523,0.387711383,0.181818182
서울특별시 강동구 천호3동,0.326595485,0.439858878,0.518363535,0.090909091
서울특별시 강동구 성내1동,0.114353248,0.320348863,0.265052159,0.272727273
서울특별시 강동구 성내2동,0.335153639,0.304091985,0.556853418,0
서울특별시 강동구 성내3동,0.168310376,0.409165334,0.386597673,0.090909091
서울특별시 강동구 둔촌1동,0,0,0.572306359,0
서울특별시 강동구 둔촌2동,0.168147363,0.374511869,0.264624446,0.090909091
서울특별시 강동구 암사1동,0.355122667,0.517684537,0.368977474,0.181818182
서울특별시 강동구 천호2동,0.441111745,0.486895917,0.495353618,0.363636364
서울특별시 강동구 길동,0.340044013,0.559591548,0.422922111,0.545454545
